date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:16	1050663/1050663	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Aug%202024%2019:02:11%20GMT	https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css	(from https://www.focusbuildinginspections.com/)
15:02:16	5601/5601	---M--	200	added ('OK')	image/svg+xml	etag:W/%22f7b5e164be1e272683db789c9cfc74af%22	https://www.focusbuildinginspections.com/assets/ui-icons.svg	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/assets/ui-icons.svg	(from https://www.focusbuildinginspections.com/)
15:02:17	135452/135452	---M-Z	200	added ('OK')	text/html	etag:W/%22ffec9f94c3e5c6b51055867ecc95e595--gzip%22	https://www.focusbuildinginspections.com/portfolio	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/portfolio.html	(from https://www.focusbuildinginspections.com/)
15:02:18	159617/159617	---M-Z	200	added ('OK')	text/html	etag:W/%22cc420fbdb804c0d114317306b91c5e5e%22	https://www.focusbuildinginspections.com/services-pricing	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/services-pricing.html	(from https://www.focusbuildinginspections.com/)
15:02:20	67742/67742	---MCZ	200	added ('OK')	text/html	etag:W/%22b9735865326deca8ae0b8892deb00f14--gzip%22	https://www.focusbuildinginspections.com/contact	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/contact.html	(from https://www.focusbuildinginspections.com/)
15:02:21	120973/120973	---MCZ	200	added ('OK')	text/html	etag:W/%22b4e5970019b0dba6c149079d076d4e54--gzip%22	https://www.focusbuildinginspections.com/clients	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/clients.html	(from https://www.focusbuildinginspections.com/)
15:02:23	83957/83957	---M-Z	200	added ('OK')	text/html	etag:W/%2205f9bfe93125dac412ce885375a053fb--gzip%22	https://www.focusbuildinginspections.com/about	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/about.html	(from https://www.focusbuildinginspections.com/)
15:02:23	71677/71677	---MCZ	200	added ('OK')	text/html	etag:W/%226bac06e8c908ef5200ec45f387085c45--gzip%22	https://www.focusbuildinginspections.com/commercial-realtors	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/commercial-realtors.html	(from https://www.focusbuildinginspections.com/)
15:02:24	80528/80528	---M-Z	200	added ('OK')	text/html	etag:W/%22d2f40cb1c7b0ad8b8c78f3cb35de8ef9--gzip%22	https://www.focusbuildinginspections.com/request-proposal	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/request-proposal.html	(from https://www.focusbuildinginspections.com/)
15:02:27	73708/73708	---MCZ	200	added ('OK')	text/html	etag:W/%224e99a380e4b1269e9d0c22be0e447247--gzip%22	https://www.focusbuildinginspections.com/certified-commercial-property-inspectors-association-ccpia	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/certified-commercial-property-inspectors-association-ccpia.html	(from https://www.focusbuildinginspections.com/)
15:02:27	77427/77427	---MCZ	200	added ('OK')	text/html	etag:W/%22e92d2b96ff4fe82a4efff06b040047e9--gzip%22	https://www.focusbuildinginspections.com/home	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/home.html	(from https://www.focusbuildinginspections.com/)
15:02:31	74690/74690	---MCZ	200	added ('OK')	text/html	etag:W/%225b568f3fd487d2c705ace6ed4faf9629--gzip%22	https://www.focusbuildinginspections.com/faq	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/faq.html	(from https://www.focusbuildinginspections.com/)
15:02:31	691765/691765	---M-Z	200	added ('OK')	text/javascript	etag:%22af4bf848d0978825f3debd56c7708251%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-9ea2243441ee087750b6-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/common-vendors-9ea2243441ee087750b6-min.en-US.js	(from https://www.focusbuildinginspections.com/)
15:02:34	77031/77031	---MCZ	200	added ('OK')	text/html	etag:W/%222d14ec04bef26ee64368b845d772ce71--gzip%22	https://www.focusbuildinginspections.com/commercial-inspection-sample-reports	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/commercial-inspection-sample-reports.html	(from https://www.focusbuildinginspections.com/)
15:02:35	88008/88008	---MCZ	200	added ('OK')	text/html	etag:W/%220ccb6f8ac4e83de8043e9160f5b7517d--gzip%22	https://www.focusbuildinginspections.com/blog	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/blog.html	(from https://www.focusbuildinginspections.com/)
15:02:39	109890/109890	---MCZ	200	added ('OK')	text/html	etag:W/%2257d5d4a0f4f9d175a54917217fe4c68a--gzip%22	https://www.focusbuildinginspections.com/commercial-inspection-definitions	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/commercial-inspection-definitions.html	(from https://www.focusbuildinginspections.com/)
15:02:45	27818/27818	---M--	200	added ('OK')	image/png	etag:CKrB9oKU4IMDEAE=	https://images.squarespace-cdn.com/content/v1/5d001d104818a50001b97de8/b33893cd-1cd6-475c-9a97-c6e6e39e23d0/FOCUS+BUILDING+INSPECTIONS+LOGO+2024+-+(1200+x+650+px).png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/images.squarespace-cdn.com/content/v1/5d001d104818a50001b97de8/b33893cd-1cd6-475c-9a97-c6e6e39e23d0/FOCUS+BUILDING+INSPECTIONS+LOGO+2024+-+(1200+x+650+px).png	(from https://www.focusbuildinginspections.com/)
15:02:54	318161/318161	---MC-	401	error ('Unauthorized')	text/html	etag:W/%22a3d3540c49fde0c85cec0a09e571407f%22	https://www.focusbuildinginspections.com/contractor-relations	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/www.focusbuildinginspections.com/contractor-relations.1d.delayed	(from https://www.focusbuildinginspections.com/)
15:03:03	118179/118179	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2019%20Aug%202024%2019:02:55%20GMT	https://static1.squarespace.com/static/ta/55dccaa0e4b0f748d9f6f215/970/scripts/site-bundle.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/static/ta/55dccaa0e4b0f748d9f6f215/970/scripts/site-bundle.js	(from https://www.focusbuildinginspections.com/)
15:03:12	1627756/1627756	---M-Z	200	added ('OK')	text/javascript	etag:%22ebab6dc12d7277e83e9cba5e60345100%22	http://assets.squarespace.com/universal/scripts-compressed/common-c54096019d55057d7ae3-min.en-US.js	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/scripts-compressed/common-c54096019d55057d7ae3-min.en-US.js	(from https://www.focusbuildinginspections.com/)
15:03:15	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:15	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:15	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:17	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:17	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:17	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:17	361637/361637	---M--	200	added ('OK')	image/png	etag:CNvRiNCS4IMDEAE=	https://images.squarespace-cdn.com/content/v1/5d001d104818a50001b97de8/891f38e5-dba1-4fe0-acd8-a9f6a7922e1c/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA%2C+ARKANSAS%2C+KANSAS%2C+MISSOURI+-+FOOTER+IMAGE.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/images.squarespace-cdn.com/content/v1/5d001d104818a50001b97de8/891f38e5-dba1-4fe0-acd8-a9f6a7922e1c/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA,+ARKANSAS,+KANSAS,+MISSOURI+-+FOOTER+IMAGE.16	(from https://www.focusbuildinginspections.com/)
15:03:18	3051/3051	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:56%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:18	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:18	3420/3420	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:11%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:18	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:19	1057/1057	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:19	361637/361637	---M--	200	added ('OK')	image/png	etag:CNvRiNCS4IMDEAE=	https://images.squarespace-cdn.com/content/5d001d104818a50001b97de8/891f38e5-dba1-4fe0-acd8-a9f6a7922e1c/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA%2C+ARKANSAS%2C+KANSAS%2C+MISSOURI+-+FOOTER+IMAGE.png?content-type=image%2Fpng	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/static/5d001d104818a50001b97de8/t/65a5be630885b56c298beb8d/1705360995893/FOCUS+BUILDING+INSPECTIONS+-+OKLAHOMA,+ARKANSAS,+KANSAS,+MISSOURI+-+FOOTER+IMAGE.026f7	(from https://www.focusbuildinginspections.com/)
15:03:20	1048/1048	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:20	3072/3072	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:21	3374/3374	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:21	3010/3010	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:06%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:21	3216/3216	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:21	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20May%200914%2019:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.30.delayed	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:21	561/561	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	https://assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:22	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2024%20May%200926%2003:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:22	1672/1672	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	https://assets.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:22	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20May%200914%2019:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:22	2320/2320	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	https://assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:23	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2027%20May%200914%2019:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:23	361/361	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	https://assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:23	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2024%20May%200926%2003:00:00%20GMT	https://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:23	3034/3034	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	https://assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
15:03:23	365/365	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	C:/Temp/Projects/CMAInspectionWebsite/Focus%20Website/assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	(from https://static1.squarespace.com/static/sitecss/5d001d104818a50001b97de8/112/55dccafee4b04b8e0d7b6d4d/5ed00d40dca1f90327aa2a13/970/site.css)
